TIME, Din, Dout, Fin, Fout
1.E-02, 1.E-07, 1.E-06, 6.504268858E-03, 3.533072375E-02
2.E-02, 2.E-07, 2.E-06, 1.300811178E-02, 7.065847806E-02
3.E-02, 3.E-07, 3.E-06, 1.951148712E-02, 0.105983252
4.E-02, 4.E-07, 4.E-06, 2.6014355E-02, 0.141305033
5.E-02, 5.E-07, 5.E-06, 3.251667341E-02, 0.17662381
6.E-02, 6.E-07, 6.E-06, 3.901840005E-02, 0.211939572
7.E-02, 7.E-07, 7.E-06, 4.551949167E-02, 0.247252307
8.E-02, 8.E-07, 8.E-06, 5.201990351E-02, 0.282562002
9.E-02, 9.E-07, 9.E-06, 5.851959057E-02, 0.317868646
0.1, 1.E-06, 1.E-05, 6.501850595E-02, 0.353172226
0.11, 1.1E-06, 1.1E-05, 7.151660326E-02, 0.38847273
0.12, 1.2E-06, 1.2E-05, 7.801383306E-02, 0.423770144
0.13, 1.3E-06, 1.3E-05, 8.451014611E-02, 0.459064455
0.14, 1.4E-06, 1.4E-05, 9.100549224E-02, 0.49435565
0.15, 1.5E-06, 1.5E-05, 9.749981924E-02, 0.529643716
0.16, 1.6E-06, 1.6E-05, 0.103993074, 0.564928639
0.17, 1.7E-06, 1.7E-05, 0.110485204, 0.600210405
0.18, 1.8E-06, 1.8E-05, 0.116976151, 0.635489
0.19, 1.9E-06, 1.9E-05, 0.12346586, 0.670764408
0.2, 2.E-06, 2.E-05, 0.129954273, 0.706036616
0.21, 2.1E-06, 2.1E-05, 0.136441331, 0.741305607
0.22, 2.2E-06, 2.2E-05, 0.142926972, 0.776571368
0.23, 2.3E-06, 2.3E-05, 0.149411135, 0.811833882
0.24, 2.4E-06, 2.4E-05, 0.155893755, 0.847093132
0.25, 2.5E-06, 2.5E-05, 0.162374768, 0.882349104
0.26, 2.6E-06, 2.6E-05, 0.168854107, 0.917601779
0.27, 2.7E-06, 2.7E-05, 0.175331702, 0.952851141
0.28, 2.8E-06, 2.8E-05, 0.181807485, 0.988097173
0.29, 2.9E-06, 2.9E-05, 0.188281384, 1.02333986
0.3, 3.E-06, 3.E-05, 0.194753324, 1.05857917
0.31, 3.1E-06, 3.1E-05, 0.201223229, 1.09381511
0.32, 3.2E-06, 3.2E-05, 0.207691024, 1.12904763
0.33, 3.3E-06, 3.3E-05, 0.214156629, 1.16427674
0.34, 3.4E-06, 3.4E-05, 0.220619961, 1.1995024
0.35, 3.5E-06, 3.5E-05, 0.227080939, 1.2347246
0.36, 3.6E-06, 3.6E-05, 0.233539475, 1.26994331
0.37, 3.7E-06, 3.7E-05, 0.239995483, 1.30515851
0.38, 3.8E-06, 3.8E-05, 0.246448872, 1.34037019
0.39, 3.9E-06, 3.9E-05, 0.252899551, 1.37557832
0.4, 4.E-06, 4.E-05, 0.259347423, 1.41078287
0.41, 4.1E-06, 4.1E-05, 0.265792391, 1.44598383
0.42, 4.2E-06, 4.2E-05, 0.272234356, 1.48118116
0.43, 4.3E-06, 4.3E-05, 0.278673215, 1.51637485
0.44, 4.4E-06, 4.4E-05, 0.285108862, 1.55156487
0.45, 4.5E-06, 4.5E-05, 0.291541188, 1.58675118
0.46, 4.6E-06, 4.6E-05, 0.297970083, 1.62193378
0.47, 4.7E-06, 4.7E-05, 0.304395431, 1.65711261
0.48, 4.8E-06, 4.8E-05, 0.310817115, 1.69228767
0.49, 4.9E-06, 4.9E-05, 0.317235014, 1.72745891
0.5, 5.E-06, 5.E-05, 0.323649003, 1.76262631
0.51, 5.1E-06, 5.1E-05, 0.330058955, 1.79778983
0.52, 5.2E-06, 5.2E-05, 0.336464736, 1.83294945
0.53, 5.3E-06, 5.3E-05, 0.342866213, 1.86810513
0.54, 5.4E-06, 5.4E-05, 0.349263245, 1.90325684
0.55, 5.5E-06, 5.5E-05, 0.355655688, 1.93840453
0.56, 5.6E-06, 5.6E-05, 0.362043395, 1.97354818
0.57, 5.7E-06, 5.7E-05, 0.368426213, 2.00868775
0.58, 5.8E-06, 5.8E-05, 0.374803985, 2.04382319
0.59, 5.9E-06, 5.9E-05, 0.381176549, 2.07895446
0.6, 6.E-06, 6.E-05, 0.38754374, 2.11408154
0.61, 6.1E-06, 6.1E-05, 0.393905384, 2.14920436
0.62, 6.2E-06, 6.2E-05, 0.400261304, 2.18432289
0.63, 6.3E-06, 6.3E-05, 0.406611319, 2.21943708
0.64, 6.4E-06, 6.4E-05, 0.412955238, 2.25454688
0.65, 6.5E-06, 6.5E-05, 0.419292869, 2.28965224
0.66, 6.6E-06, 6.6E-05, 0.425624009, 2.32475311
0.67, 6.7E-06, 6.7E-05, 0.431948453, 2.35984944
0.68, 6.8E-06, 6.8E-05, 0.438265984, 2.39494117
0.69, 6.9E-06, 6.9E-05, 0.444576384, 2.43002824
0.7, 7.E-06, 7.E-05, 0.450879422, 2.4651106
0.71, 7.1E-06, 7.1E-05, 0.457174864, 2.50018817
0.72, 7.2E-06, 7.2E-05, 0.463462464, 2.5352609
0.73, 7.3E-06, 7.3E-05, 0.469741971, 2.57032872
0.74, 7.4E-06, 7.4E-05, 0.476013124, 2.60539155
0.75, 7.5E-06, 7.5E-05, 0.482275653, 2.64044933
0.76, 7.6E-06, 7.6E-05, 0.488529277, 2.67550197
0.77, 7.7E-06, 7.7E-05, 0.494773708, 2.7105494
0.78, 7.8E-06, 7.8E-05, 0.501008646, 2.74559154
0.79, 7.9E-06, 7.9E-05, 0.507233781, 2.78062829
0.8, 8.E-06, 8.E-05, 0.513448791, 2.81565957
0.81, 8.1E-06, 8.1E-05, 0.519653343, 2.85068528
