TIME, Din, Dout, Fin
1.E-02, 1.E-05, 5.87495502E-09, 0.660438136
2.E-02, 2.E-05, 2.351686171E-08, 1.32073893
3.E-02, 3.E-05, 5.300357004E-08, 1.98086594
4.E-02, 4.E-05, 9.447934285E-08, 2.64078858
5.E-02, 5.E-05, 1.48159735E-07, 3.30047435
6.E-02, 6.E-05, 2.143336706E-07, 3.95989013
7.E-02, 7.E-05, 2.933673463E-07, 4.61900193
8.E-02, 8.E-05, 3.857092514E-07, 5.27777464
9.E-02, 9.E-05, 4.918964282E-07, 5.93617176
0.1, 1.E-04, 6.125621282E-07, 6.5941551
0.11, 1.1E-04, 7.484450622E-07, 7.25168442
0.12, 1.2E-04, 9.004004917E-07, 7.90871709
0.13, 1.3E-04, 1.069413464E-06, 8.56520762
0.14, 1.4E-04, 1.256614571E-06, 9.22110721
0.15, 1.5E-04, 1.46329869E-06, 9.87636316
0.16, 1.6E-04, 1.690947289E-06, 10.5309182
0.17, 1.7E-04, 1.941255006E-06, 11.1847097
0.18, 1.8E-04, 2.216161391E-06, 11.837669
0.19, 1.9E-04, 2.517888921E-06, 12.4897198
0.2, 2.E-04, 2.848988682E-06, 13.1407775
0.21, 2.1E-04, 3.212395471E-06, 13.7907474
0.22, 2.2E-04, 3.611494549E-06, 14.4395227
0.23, 2.3E-04, 4.050202889E-06, 15.0869826
0.24, 2.4E-04, 4.533068546E-06, 15.7329895
0.25, 2.5E-04, 5.065392859E-06, 16.3773854
0.26, 2.6E-04, 5.653358322E-06, 17.0199884
0.27, 2.7E-04, 6.304305734E-06, 17.6605871
0.28, 2.8E-04, 7.026841142E-06, 18.2989345
0.29, 2.9E-04, 7.831214741E-06, 18.9347402
0.3, 3.E-04, 8.729677069E-06, 19.5676603
0.31, 3.1E-04, 9.737956465E-06, 20.1971761
0.32, 3.2E-04, 1.087221059E-05, 20.8230038
0.33, 3.3E-04, 1.2154974E-05, 21.4444449
0.34, 3.4E-04, 1.361298062E-05, 22.0607719
0.35, 3.5E-04, 1.527931047E-05, 22.6710908
0.36, 3.6E-04, 1.719521719E-05, 23.2742947
0.37, 3.7E-04, 1.941255723E-05, 23.8690032
0.38, 3.8E-04, 2.199702807E-05, 24.4534818
0.39, 3.9E-04, 2.503248511E-05, 25.0255381
0.4, 4.E-04, 2.862666958E-05, 25.5823865
0.41, 4.1E-04, 3.29187163E-05, 26.1204783
0.42, 4.2E-04, 3.808875785E-05, 26.6352951
0.43, 4.3E-04, 4.436967262E-05, 27.1211174
0.44, 4.4E-04, 5.206032042E-05, 27.5708035
0.45, 4.5E-04, 6.153819652E-05, 27.975656
0.46, 4.6E-04, 7.326719543E-05, 28.3255108
0.47, 4.7E-04, 8.779751662E-05, 28.6091559
0.48, 4.8E-04, 1.057294037E-04, 28.815635
0.49, 4.9E-04, 1.276803925E-04, 28.9355153
0.5, 5.E-04, 1.523200826E-04, 28.9962532
0.51, 5.1E-04, 1.85717539E-04, 28.896715
0.52, 5.2E-04, 2.218651823E-04, 28.7487012
0.53, 5.3E-04, 2.610434538E-04, 28.5559522
0.54, 5.4E-04, 3.038166139E-04, 28.3117578
0.55, 5.5E-04, 3.506479384E-04, 28.0132689
0.56, 5.6E-04, 4.016890989E-04, 27.662629
0.57, 5.7E-04, 4.56663791E-04, 27.2673284
0.58, 5.8E-04, 5.147865614E-04, 26.8403676
0.59, 5.9E-04, 5.746866657E-04, 26.4006813
0.6, 6.E-04, 6.343578493E-04, 25.9736468
0.61, 6.1E-04, 6.723318313E-04, 25.8391329
0.62, 6.2E-04, 7.209736575E-04, 25.5635561
0.63, 6.3E-04, 7.699461747E-04, 25.2849948
0.64, 6.4E-04, 8.179038118E-04, 25.0217962
0.65, 6.5E-04, 8.636731232E-04, 24.7873301
0.66, 6.6E-04, 9.02940721E-04, 24.6354358
0.67, 6.7E-04, 9.443927782E-04, 24.4547846
0.68, 6.8E-04, 9.86808386E-04, 24.2618641
0.69, 6.9E-04, 1.028572987E-03, 24.0766817
0.7, 7.E-04, 1.068775667E-03, 23.9103146
0.71, 7.1E-04, 1.107476051E-03, 23.7617557
0.72, 7.2E-04, 1.145260107E-03, 23.6235991
0.73, 7.3E-04, 1.182546112E-03, 23.4906079
0.74, 7.4E-04, 1.219374996E-03, 23.3622336
0.75, 7.5E-04, 1.255649906E-03, 23.2396289
0.76, 7.6E-04, 1.291335504E-03, 23.1231901
0.77, 7.7E-04, 1.326469802E-03, 23.0124209
0.78, 7.8E-04, 1.361104128E-03, 22.9066724
0.79, 7.9E-04, 1.395272948E-03, 22.8055093
0.8, 8.E-04, 1.428998846E-03, 22.7086467
0.81, 8.1E-04, 1.462302284E-03, 22.6158293
0.82, 8.2E-04, 1.495203952E-03, 22.5268026
0.83, 8.3E-04, 1.527723574E-03, 22.4413264
